,0
loan_amnt,12000.0
funded_amnt,12000.0
funded_amnt_inv,12000.0
term,0.0
int_rate,11.53
installment,369.93
grade,2.0
sub_grade,10.0
emp_length,7.0
annual_inc,65000.0
addr_state,0.0336560889303553
dti,18.44
delinq_2yrs,0.0
fico_range_low,685.0
fico_range_high,689.0
inq_last_6mths,0.0
mths_since_last_delinq,76.0
open_acc,11.0
pub_rec,0.0
revol_bal,11261.5
revol_util,51.4
total_acc,23.0
initial_list_status,1.0
collections_12_mths_ex_med,0.0
policy_code,1.0
application_type,0.0
acc_now_delinq,0.0
tot_coll_amt,0.0
tot_cur_bal,77666.5
total_rev_hi_lim,24600.0
acc_open_past_24mths,4.0
avg_cur_bal,7163.0
bc_open_to_buy,4734.0
bc_util,62.9
chargeoff_within_12_mths,0.0
delinq_amnt,0.0
mo_sin_old_il_acct,129.0
mo_sin_old_rev_tl_op,169.0
mo_sin_rcnt_rev_tl_op,8.0
mo_sin_rcnt_tl,5.0
mort_acc,1.0
mths_since_recent_bc,13.0
mths_since_recent_inq,6.0
num_accts_ever_120_pd,0.0
num_actv_bc_tl,3.0
num_actv_rev_tl,5.0
num_bc_sats,4.0
num_bc_tl,7.0
num_il_tl,7.0
num_op_rev_tl,7.0
num_rev_accts,13.0
num_rev_tl_bal_gt_0,5.0
num_sats,11.0
num_tl_120dpd_2m,0.0
num_tl_30dpd,0.0
num_tl_90g_dpd_24m,0.0
num_tl_op_past_12m,2.0
pct_tl_nvr_dlq,97.3
percent_bc_gt_75,42.9
pub_rec_bankruptcies,0.0
tax_liens,0.0
tot_hi_cred_lim,110557.0
total_bal_ex_mort,39082.5
total_bc_limit,15100.0
total_il_high_credit_limit,33239.0
debt_settlement_flag,0.0
has_delinq,1.0
loan_to_income,0.2
installment_to_income,0.0705761140285071
credit_history_years,18.32991101984942
home_ownership_MORTGAGE,0.0
home_ownership_OWN,0.0
home_ownership_RENT,0.0
verification_status_Source Verified,0.0
verification_status_Verified,0.0
purpose_credit_card,0.0
purpose_debt_consolidation,1.0
purpose_home_improvement,0.0
purpose_house,0.0
purpose_major_purchase,0.0
purpose_medical,0.0
purpose_moving,0.0
purpose_other,0.0
purpose_renewable_energy,0.0
purpose_small_business,0.0
purpose_vacation,0.0
